model,run,condition,seed,subset,n_samples,bleu,chrf,chrfpp,ref_mode,alt_ref_rows_used,source_file
nllb-600m,exp2,RANDOM-200,789,structured,455,0.21,11.4,10.38,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-200/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-200,789,tatoeba,1000,0.41,10.5,9.62,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-200/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-2000,123,combined,1455,3.09,26.01,23.48,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-2000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-2000,123,structured,455,5.04,32.45,29.16,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-2000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-2000,123,tatoeba,1000,2.54,24.33,21.97,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-2000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-2000,2024,combined,1455,3.01,25.69,23.16,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-2000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-2000,2024,structured,455,2.25,31.24,27.94,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-2000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-2000,2024,tatoeba,1000,3.08,24.23,21.87,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-2000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-2000,42,combined,1455,3.53,25.53,23.09,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-2000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-2000,42,structured,455,6.25,30.61,27.84,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-2000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-2000,42,tatoeba,1000,2.85,24.21,21.82,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-2000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-2000,456,combined,1455,2.92,25.2,22.69,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-2000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-2000,456,structured,455,3.62,29.99,26.99,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-2000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-2000,456,tatoeba,1000,2.64,23.98,21.56,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-2000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-2000,789,combined,1455,3.25,26.38,23.59,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-2000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-2000,789,structured,455,4.56,32.37,28.7,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-2000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-2000,789,tatoeba,1000,2.95,24.84,22.25,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-2000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-4000,123,combined,1455,3.53,28.61,25.56,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-4000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-4000,123,structured,455,4.58,34.67,30.5,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-4000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-4000,123,tatoeba,1000,3.2,27.01,24.25,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-4000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-4000,2024,combined,1455,3.6,28.88,25.89,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-4000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-4000,2024,structured,455,3.85,35.24,31.18,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-4000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-4000,2024,tatoeba,1000,3.5,27.22,24.49,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-4000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-4000,42,combined,1455,3.67,29.02,25.89,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-4000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-4000,42,structured,455,4.24,35.83,31.59,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-4000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-4000,42,tatoeba,1000,3.53,27.26,24.39,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-4000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-4000,456,combined,1455,3.88,29.2,26.07,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-4000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-4000,456,structured,455,4.65,35.68,31.4,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-4000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-4000,456,tatoeba,1000,3.69,27.5,24.65,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-4000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-4000,789,combined,1455,3.97,29.45,26.45,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-4000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-4000,789,structured,455,4.98,36.02,32.0,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-4000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-4000,789,tatoeba,1000,3.71,27.75,24.99,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-4000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-500,123,combined,1455,2.2,19.55,17.82,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-500/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-500,123,structured,455,3.83,23.46,21.89,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-500/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-500,123,tatoeba,1000,1.83,18.54,16.72,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-500/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-500,2024,combined,1455,1.74,19.04,17.24,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-500/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-500,2024,structured,455,3.44,23.41,21.05,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-500/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-500,2024,tatoeba,1000,1.29,17.92,16.25,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-500/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-500,42,combined,1455,2.47,19.41,17.75,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-500/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-500,42,structured,455,4.81,23.55,21.85,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-500/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-500,42,tatoeba,1000,1.83,18.33,16.64,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-500/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-500,456,combined,1455,1.75,19.62,17.7,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-500/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-500,456,structured,455,2.85,22.69,20.78,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-500/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-500,456,tatoeba,1000,1.48,18.83,16.87,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-500/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-500,789,combined,1455,2.03,19.67,17.88,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-500/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-500,789,structured,455,3.56,23.78,21.83,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-500/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-500,789,tatoeba,1000,1.62,18.59,16.81,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-500/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6000,123,combined,1455,4.04,30.04,26.84,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6000,123,structured,455,4.14,35.62,31.75,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6000,123,tatoeba,1000,3.97,28.52,25.49,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6000,2024,combined,1455,3.87,29.59,26.55,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6000,2024,structured,455,4.97,34.21,30.81,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6000,2024,tatoeba,1000,3.58,28.35,25.38,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6000,42,combined,1455,3.5,29.39,26.48,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6000,42,structured,455,4.44,34.19,30.53,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6000,42,tatoeba,1000,3.25,28.09,25.38,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6000,456,combined,1455,4.24,30.66,27.31,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6000,456,structured,455,5.46,37.65,33.17,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6000,456,tatoeba,1000,3.96,28.84,25.76,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6000,789,combined,1455,4.31,30.3,27.08,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6000,789,structured,455,3.06,34.23,30.13,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6000,789,tatoeba,1000,4.58,29.22,26.24,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-1000,123,combined,1455,21.41,39.87,38.31,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-1000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-1000,123,structured,455,80.84,89.63,88.94,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-1000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-1000,123,tatoeba,1000,3.6,27.29,24.8,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-1000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-1000,2024,combined,1455,19.69,39.96,38.17,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-1000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-1000,2024,structured,455,85.11,91.98,91.33,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-1000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-1000,2024,tatoeba,1000,3.05,27.12,24.32,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-1000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-1000,42,combined,1455,21.82,40.54,38.84,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-1000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-1000,42,structured,455,82.86,89.89,89.3,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-1000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-1000,42,tatoeba,1000,4.12,28.11,25.42,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-1000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-1000,456,combined,1455,23.59,42.38,40.55,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-1000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-1000,456,structured,455,89.68,94.64,94.15,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-1000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-1000,456,tatoeba,1000,4.59,29.01,26.13,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-1000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-1000,789,combined,1455,23.2,41.58,39.73,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-1000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-1000,789,structured,455,87.16,92.65,92.22,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-1000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-1000,789,tatoeba,1000,4.29,28.39,25.49,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-1000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-2000,123,combined,1455,24.06,42.47,40.73,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-2000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-2000,123,structured,455,92.45,95.73,95.52,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-2000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-2000,123,tatoeba,1000,3.75,28.86,25.97,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-2000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-2000,2024,combined,1455,25.56,42.49,40.95,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-2000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-2000,2024,structured,455,93.78,96.46,96.3,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-2000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-2000,2024,tatoeba,1000,4.94,28.62,25.96,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-2000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-2000,42,combined,1455,23.18,41.06,39.5,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-2000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-2000,42,structured,455,91.89,95.55,95.24,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-2000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-2000,42,tatoeba,1000,3.23,27.19,24.58,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-2000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-2000,456,combined,1455,26.28,43.23,41.58,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-2000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-2000,456,structured,455,95.7,97.55,97.47,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-2000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-2000,456,tatoeba,1000,4.66,29.22,26.38,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-2000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-2000,789,combined,1455,24.93,41.89,40.33,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-2000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-2000,789,structured,455,93.41,96.25,96.1,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-2000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-2000,789,tatoeba,1000,4.18,28.09,25.36,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-2000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-4000,123,combined,1455,25.91,42.81,41.1,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-4000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-4000,123,structured,455,96.38,97.75,97.73,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-4000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-4000,123,tatoeba,1000,3.53,28.65,25.7,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-4000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-4000,2024,combined,1455,25.85,42.32,40.73,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-4000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-4000,2024,structured,455,95.34,97.12,97.11,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-4000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-4000,2024,tatoeba,1000,3.98,28.2,25.39,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-4000/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-4000,42,combined,1455,24.86,41.98,40.44,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-4000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-4000,42,structured,455,94.37,96.84,96.69,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-4000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-4000,42,tatoeba,1000,4.04,28.06,25.36,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-4000/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-4000,456,combined,1455,24.7,42.07,40.47,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-4000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-4000,456,structured,455,94.02,97.04,96.75,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-4000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-4000,456,tatoeba,1000,4.08,27.97,25.28,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-4000/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-4000,789,combined,1455,26.03,42.93,41.17,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-4000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-4000,789,structured,455,95.44,97.82,97.72,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-4000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-4000,789,tatoeba,1000,3.97,28.66,25.65,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-4000/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-500,123,combined,1455,21.69,40.69,38.66,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-500/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-500,123,structured,455,78.68,88.22,87.38,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-500/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-500,123,tatoeba,1000,3.87,28.47,25.43,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-500/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-500,2024,combined,1455,20.89,40.83,38.7,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-500/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-500,2024,structured,455,75.32,87.69,86.47,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-500/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-500,2024,tatoeba,1000,3.85,28.76,25.73,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-500/seed2024/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-500,42,combined,1455,21.66,41.39,39.29,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-500/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-500,42,structured,455,78.37,88.58,87.67,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-500/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-500,42,tatoeba,1000,3.8,29.16,26.09,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-500/seed42/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-500,456,combined,1455,21.09,40.53,38.54,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-500/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-500,456,structured,455,75.72,87.6,86.51,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-500/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-500,456,tatoeba,1000,3.98,28.43,25.53,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-500/seed456/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-500,789,combined,1455,21.14,40.39,38.41,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-500/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-500,789,structured,455,75.55,86.74,85.79,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-500/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-6K_STRUCTURED-500,789,tatoeba,1000,4.31,28.46,25.56,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-6K_STRUCTURED-500/seed789/test_predictions.jsonl
nllb-600m,exp2,RANDOM-8000,123,combined,1455,4.25,29.94,27.0,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-8000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-8000,123,structured,455,5.44,37.04,33.08,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-8000/seed123/test_predictions.jsonl
nllb-600m,exp2,RANDOM-8000,123,tatoeba,1000,3.88,28.07,25.39,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/exp2/RANDOM-8000/seed123/test_predictions.jsonl
