model,run,condition,seed,subset,n_samples,bleu,chrf,chrfpp,ref_mode,alt_ref_rows_used,source_file
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,789,tatoeba,1000,2.66,23.85,21.37,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,123,combined,1455,2.17,23.46,20.8,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,123,structured,455,2.19,29.45,25.36,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,123,tatoeba,1000,2.09,21.84,19.57,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,2024,combined,1455,2.3,22.96,20.4,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-4K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,2024,structured,455,2.92,28.34,24.66,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-4K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,2024,tatoeba,1000,2.14,21.56,19.28,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-4K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,42,combined,1455,1.91,22.72,20.04,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-4K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,42,structured,455,1.89,27.78,24.29,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-4K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,42,tatoeba,1000,1.88,21.36,18.89,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-4K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,456,combined,1455,1.78,23.43,20.8,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-4K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,456,structured,455,1.28,27.78,23.85,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-4K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,456,tatoeba,1000,1.92,22.25,19.99,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-4K/seed456/test_predictions.jsonl
