experiment,condition,seed,model,train_size,test_bleu,test_chrf,test_chrfpp,test_ter,training_time_seconds,actual_epochs,test_n_samples
baselines,STRUCT4K-TFIDF2K,789,facebook/nllb-200-distilled-600M,4568,18.952716255847395,35.44922335875641,34.19403621690918,89.60240963855422,2587.81671333313,,1455
baselines,STRUCT4K-VOCAB2K,123,facebook/nllb-200-distilled-600M,4735,31.7856656208953,46.61972665924156,45.37108832665065,72.13253012048193,3635.2168641090393,,1455
baselines,STRUCT4K-VOCAB2K,2024,facebook/nllb-200-distilled-600M,4735,34.87369797092875,47.424079008218804,46.003986927060275,67.78313253012048,3776.1034302711487,,1455
baselines,STRUCT4K-VOCAB2K,42,facebook/nllb-200-distilled-600M,4735,38.8256594883007,50.68825744521115,49.335202974053786,62.81927710843374,4370.852696895599,,1455
baselines,STRUCT4K-VOCAB2K,456,facebook/nllb-200-distilled-600M,4735,35.47643385902871,49.33897921835984,48.012288653603335,66.8433734939759,4078.63068819046,,1455
baselines,STRUCT4K-VOCAB2K,789,facebook/nllb-200-distilled-600M,4735,34.65781693842448,47.05721780648361,45.64735578796502,67.55421686746988,3670.8803164958954,,1455
baselines,TF-IDF-DIVERSE,123,facebook/nllb-200-distilled-600M,1614,2.753540837954232,25.052763016988134,22.529659508659694,100.22891566265059,4066.41353225708,,1455
baselines,TF-IDF-DIVERSE,2024,facebook/nllb-200-distilled-600M,1614,3.3408988846138046,25.42538304103015,22.942624732321228,97.72289156626506,4053.736106157303,,1455
baselines,TF-IDF-DIVERSE,42,facebook/nllb-200-distilled-600M,1614,2.7695990391558643,25.344680461157925,22.687611494952513,98.87951807228916,4118.587965011597,,1455
baselines,TF-IDF-DIVERSE,456,facebook/nllb-200-distilled-600M,1614,2.496472829061636,25.00659592710589,22.36528570612059,101.92771084337349,4117.6654369831085,,1455
baselines,TF-IDF-DIVERSE,789,facebook/nllb-200-distilled-600M,1614,2.609420777160391,25.179854653176193,22.548203073782254,99.40963855421687,4108.405520439148,,1455
baselines,VOCAB-MAXIMIZED,123,facebook/nllb-200-distilled-600M,1614,2.6380902501607464,24.910349767919747,22.53024516809841,97.83132530120481,4411.322198390961,,1455
baselines,VOCAB-MAXIMIZED,2024,facebook/nllb-200-distilled-600M,1614,3.3001573319397406,25.781841329156087,23.389866697664015,96.20481927710843,4714.206342220306,,1455
baselines,VOCAB-MAXIMIZED,42,facebook/nllb-200-distilled-600M,1614,2.660687126976388,25.32952915133327,22.89630380757162,99.48192771084338,4563.374060153961,,1455
baselines,VOCAB-MAXIMIZED,456,facebook/nllb-200-distilled-600M,1614,2.433913360457092,25.605727658022538,22.96352785207347,97.49397590361446,4833.6117696762085,,1455
baselines,VOCAB-MAXIMIZED,789,facebook/nllb-200-distilled-600M,1614,2.335528840870762,25.90267068469936,23.196506280853974,96.63855421686746,4768.246423006058,,1455
exp1,RANDOM-10K,123,facebook/nllb-200-distilled-600M,7200,4.257553175304907,30.82484204788457,27.563158921856584,94.73493975903614,5870.058166265488,,1455
exp1,RANDOM-10K,2024,facebook/nllb-200-distilled-600M,7200,3.9928520385466575,30.814485641086257,27.569146744983737,97.95180722891567,6999.852036476135,,1455
exp1,RANDOM-10K,42,facebook/nllb-200-distilled-600M,7200,4.16746626300375,30.485661074861525,27.236912751535748,98.0722891566265,6145.4026658535,,1455
exp1,RANDOM-10K,456,facebook/nllb-200-distilled-600M,7200,4.221525881591701,31.3929598151655,27.95248826343383,93.5421686746988,5419.856974363327,,1455
exp1,RANDOM-10K,789,facebook/nllb-200-distilled-600M,7200,3.9881988650395708,30.510094730919253,27.46343703161812,103.28915662650601,5192.854105949402,,1455
exp1,RANDOM-10K_STRUCTURED-4K,123,facebook/nllb-200-distilled-600M,10316,23.95492776637283,41.99031817148706,39.97537819192393,75.69879518072288,5250.1081330776215,,1455
exp1,RANDOM-10K_STRUCTURED-4K,2024,facebook/nllb-200-distilled-600M,10316,24.061824900017918,41.86738204679949,39.73626659143688,73.71084337349397,5365.51301240921,,1455
exp1,RANDOM-10K_STRUCTURED-4K,42,facebook/nllb-200-distilled-600M,10316,22.865835977317246,41.54740282780508,39.67624220951548,77.04819277108433,3612.206043481827,,1455
exp1,RANDOM-10K_STRUCTURED-4K,456,facebook/nllb-200-distilled-600M,10316,22.219692626498944,42.008271507079,40.16853573711127,78.33734939759036,3858.747292995453,,1455
