experiment,condition,seed,model,train_size,test_bleu,test_chrf,test_chrfpp,test_ter,training_time_seconds,actual_epochs,test_n_samples
baselines,LENGTH-STRATIFIED,123,facebook/nllb-200-distilled-600M,1800,23.148313537612776,39.01873913420085,36.78582047975987,83.21686746987952,5025.7264316082,,1455
baselines,LENGTH-STRATIFIED,2024,facebook/nllb-200-distilled-600M,1800,24.139928448443975,39.11879414266631,36.91048535021046,81.12048192771084,4668.94615149498,,1455
baselines,LENGTH-STRATIFIED,42,facebook/nllb-200-distilled-600M,1800,23.630845947467847,39.09914905726683,36.843256806300026,81.53012048192771,4421.379100084305,,1455
baselines,LENGTH-STRATIFIED,456,facebook/nllb-200-distilled-600M,1800,23.468618437544112,39.17987890892365,37.01607817515711,83.09638554216868,4874.259827852249,,1455
baselines,LENGTH-STRATIFIED,789,facebook/nllb-200-distilled-600M,1800,24.06061336967815,39.11431749865089,36.809404322398635,80.50602409638554,4978.806430101395,,1455
baselines,STRUCT4K-ALL-BASELINES,123,facebook/nllb-200-distilled-600M,7073,53.57034745157173,64.28761928874732,62.96125507017866,45.04819277108434,5693.037325143814,,1455
baselines,STRUCT4K-ALL-BASELINES,2024,facebook/nllb-200-distilled-600M,7073,34.05914237828101,50.423142526077704,48.80275099369694,63.24096385542168,3657.923560142517,,1455
baselines,STRUCT4K-ALL-BASELINES,42,facebook/nllb-200-distilled-600M,7073,44.16425347544651,57.96247865192468,56.39574162455312,55.24096385542169,4431.222404718399,,1455
baselines,STRUCT4K-ALL-BASELINES,456,facebook/nllb-200-distilled-600M,7073,45.454124485203735,58.96492770682198,57.55131815080096,53.807228915662655,4589.458516120911,,1455
baselines,STRUCT4K-ALL-BASELINES,789,facebook/nllb-200-distilled-600M,7073,28.254110177275475,46.36729622631226,44.859695610298736,68.04819277108433,3200.480334997177,,1455
baselines,STRUCT4K-LENGTH2K,123,facebook/nllb-200-distilled-600M,4735,25.98774083390407,40.90548474410923,39.600331348595105,76.06024096385542,2728.1638135910034,,1455
baselines,STRUCT4K-LENGTH2K,2024,facebook/nllb-200-distilled-600M,4735,30.26844518113604,45.42980932489616,44.35974451722013,74.96385542168674,3488.990995168686,,1455
baselines,STRUCT4K-LENGTH2K,42,facebook/nllb-200-distilled-600M,4735,38.48390115007344,49.95711846342351,48.68723908719505,62.69879518072289,5865.488948345184,,1455
baselines,STRUCT4K-LENGTH2K,456,facebook/nllb-200-distilled-600M,4735,35.06889472527573,47.062091713374784,45.89913389346292,66.66265060240963,3677.0558409690857,,1455
baselines,STRUCT4K-LENGTH2K,789,facebook/nllb-200-distilled-600M,4735,38.26560924167483,49.515222746160525,48.22161949634688,63.036144578313255,6025.6985692977905,,1455
baselines,STRUCT4K-TFIDF2K,123,facebook/nllb-200-distilled-600M,4735,19.13926484483563,37.41442191861961,36.350191317774396,99.21686746987952,2604.940341949463,,1455
baselines,STRUCT4K-TFIDF2K,2024,facebook/nllb-200-distilled-600M,4735,35.556277293071695,47.982424326323,46.621442653671366,64.09638554216868,4534.377461910248,,1455
baselines,STRUCT4K-TFIDF2K,42,facebook/nllb-200-distilled-600M,4735,27.583584918977134,44.16193024854034,42.876863659378564,78.3132530120482,3306.84499835968,,1455
baselines,STRUCT4K-TFIDF2K,456,facebook/nllb-200-distilled-600M,4735,27.829476410052763,42.22583688459526,40.699904624942846,71.10843373493975,2832.165939092636,,1455
baselines,STRUCT4K-TFIDF2K,789,facebook/nllb-200-distilled-600M,4735,34.9290444417239,48.94142566465294,47.6472778346189,65.81927710843374,5668.50249004364,,1455
baselines,STRUCT4K-VOCAB2K,123,facebook/nllb-200-distilled-600M,4735,31.7856656208953,46.61972665924156,45.37108832665065,72.13253012048193,3635.2168641090393,,1455
baselines,STRUCT4K-VOCAB2K,2024,facebook/nllb-200-distilled-600M,4735,34.87369797092875,47.424079008218804,46.003986927060275,67.78313253012048,3776.1034302711487,,1455
